,no,label,title,href
0,17.060,Conseil national - 13.06.2019-08:00 - Objet du Conseil fédéral,Entreprises responsables – pour protéger l’être humain et l’environnement. Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46336
1,17.043,Conseil national - 09.05.2019-08:00 - Objet du Conseil fédéral,Loi sur le contrat d’assurance. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46115
2,18.082,Conseil national - 20.03.2019-08:30 - Objet du Conseil fédéral,Mise en oeuvre des recommandations du Forum mondial sur la transparence et l’échange de renseignements à des fins fiscales,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45766
3,17.485,Conseil national - 13.03.2019-15:00 - Initiative parlementaire - Addor Jean-Luc,Pas d'aumôniers musulmans dans notre armée,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45587
4,18.063,Conseil national - 13.03.2019-08:00 - Objet du Conseil fédéral,Convention multilatérale pour la mise en oeuvre des mesures relatives aux conventions fiscales pour prévenir l'érosion de la base d'imposition et le transfert de bénéfices. Approbation,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45564
5,16.3055,Conseil national - 12.03.2019-08:00 - Motion - Jauslin Matthias Samuel,Harmoniser les intérêts perçus ou crédités au titre des impôts fédéraux,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45540
6,18.035,Conseil national - 14.12.2018-08:00 - Objet du Conseil fédéral,Davantage de logements abordables. Initiative populaire et crédit-cadre destiné à alimenter le fonds de roulement,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45027
7,18.055,Conseil national - 13.12.2018-08:00 - Objet du Conseil fédéral,Introduction de l'échange automatique de renseignements relatifs aux comptes financiers avec la République de Singapour et Hong Kong et avec d’autres États partenaires,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45017
8,18.035,Conseil national - 12.12.2018-08:15 - Objet du Conseil fédéral,Davantage de logements abordables. Initiative populaire et crédit-cadre destiné à alimenter le fonds de roulement,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44977
9,18.4093,Conseil national - 11.12.2018-08:00 - Motion - Commission des institutions politiques-Conseil national,Pacte de l'ONU sur les migrations. Soumettre à l'Assemblée fédérale la décision d'approbation,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44966
10,18.039,Conseil national - 06.12.2018-08:00 - Objet du Conseil fédéral,Double imposition. Convention avec la Zambie,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44878
11,16.076,Conseil national - 18.09.2018-08:00 - Objet du Conseil fédéral,Loi sur le traitement fiscal des sanctions financières,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44053
12,17.489,Conseil national - 13.09.2018-08:00 - Initiative parlementaire - Steinemann Barbara,Pas de naturalisation facilitée pour les mineurs qui bénéficient de l'aide sociale,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43949
13,18.031,Conseil national - 12.09.2018-15:00 - Objet du Conseil fédéral,Projet fiscal 17,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43944
14,18.031,Conseil national - 12.09.2018-08:00 - Objet du Conseil fédéral,Projet fiscal 17,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43933
15,17.019,Conseil national - 13.06.2018-08:15 - Objet du Conseil fédéral,Loi sur les marchés publics. Révision totale,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43597
16,17.019,Conseil national - 13.06.2018-08:15 - Objet du Conseil fédéral,Loi sur les marchés publics. Révision totale,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43590
17,17.425,Conseil national - 29.05.2018-08:00 - Initiative parlementaire - Buffat Michaël,Dépouillement des scrutins fédéraux,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43238
18,17.414,Conseil national - 29.05.2018-08:00 - Initiative parlementaire - Groupe de l'Union démocratique du Centre,La clandestinité n'est pas un cas de rigueur,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43239
19,18.030,Conseil national - 29.05.2018-08:00 - Objet du Conseil fédéral,Loi sur l'impôt anticipé,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43230
20,17.066,Conseil national - 29.05.2018-08:00 - Objet du Conseil fédéral,Double imposition. Convention avec le Pakistan,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43228
21,17.3205,Conseil national - 06.03.2018-08:00 - Postulat - Reynard Mathias,Reconnaissance de la Garde suisse pontificale,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42640
22,16.3345,Conseil national - 14.12.2017-08:00 - Postulat - Marra Ada,Publication du rapport de la FINMA sur les Panama Papers,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42079
23,17.045,Conseil national - 13.12.2017-08:15 - Objet du Conseil fédéral,Double imposition. Convention avec la Lettonie,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42032
24,16.074,Conseil national - 06.12.2017-08:00 - Objet du Conseil fédéral,Pour une monnaie à l’abri des crises: émission monétaire uniquement par la Banque nationale! (Initiative Monnaie pleine). Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41804
25,17.040,Conseil national - 06.12.2017-08:00 - Objet du Conseil fédéral,Introduction de l'échange automatique de renseignements relatifs aux comptes financiers avec 41 États partenaires à partir de 2018/2019,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41802
26,17.040,Conseil national - 27.09.2017-15:00 - Objet du Conseil fédéral,Introduction de l'échange automatique de renseignements relatifs aux comptes financiers avec 41 États partenaires à partir de 2018/2019,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41210
27,17.040,Conseil national - 27.09.2017-15:00 - Objet du Conseil fédéral,Introduction de l'échange automatique de renseignements relatifs aux comptes financiers avec 41 États partenaires à partir de 2018/2019,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41192
28,16.3221,Conseil national - 20.09.2017-15:00 - Postulat - Amarelle Cesla,Vols Frontex. Surveiller le domaine de l'exécution des renvois dans le cadre de la collaboration avec Frontex,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41006
29,15.057,Conseil national - 13.09.2017-08:00 - Objet du Conseil fédéral,Oui à la protection de la sphère privée. Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40905
30,15.3575,Conseil national - 15.06.2017-08:00 - Motion - Marra Ada,Réinsertion des chômeurs de longue durée dans le cadre de la valorisation des ressources internes,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40593
31,16.078,Conseil national - 31.05.2017-08:00 - Objet du Conseil fédéral,Accord multilatéral entre autorités compétentes portant sur l’échange des déclarations pays par pays. Approbation et mise en oeuvre,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40196
32,15.410,Conseil national - 04.05.2017-08:00 - Initiative parlementaire - de Buman Dominique,Ancrer durablement le taux spécial de TVA applicable à l'hébergement,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40110
