,no,label,title,href
0,18.3990,Conseil national - 05.06.2019-15:00 - Motion - Kälin Irène,Interdiction de sceller les trayons lors des foires aux bestiaux,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46197
1,17.043,Conseil national - 09.05.2019-15:00 - Objet du Conseil fédéral,Loi sur le contrat d’assurance. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46116
2,17.3456,Conseil national - 08.05.2019-15:00 - Postulat - Page Pierre-André,Certificat médical ou contrôle d'aptitude pour conducteurs âgés à partir de 75 ans? Etude comparative de l'opportunité,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46113
3,17.052,Conseil national - 08.05.2019-15:00 - Objet du Conseil fédéral,Loi sur la chasse. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46104
4,17.052,Conseil national - 08.05.2019-08:00 - Objet du Conseil fédéral,Loi sur la chasse. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46102
5,17.3657,Conseil national - 13.03.2019-15:00 - Motion - Page Pierre-André,TVA. Suppression de l'inégalité de traitement entre associations culturelles et sportives,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45577
6,18.4087,Conseil national - 12.12.2018-15:00 - Motion - Commission des finances-Conseil national,Réformes structurelles d'Agroscope en faveur de la recherche dans le domaine agricole,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45000
7,17.467,Conseil national - 11.12.2018-08:00 - Initiative parlementaire - Walliser Bruno,Modifier la loi sur les ouvrages d'accumulation,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44974
8,17.071,Conseil national - 04.12.2018-08:00 - Objet du Conseil fédéral,Révision totale de la loi sur le CO2 pour la période postérieure à 2020,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44855
9,16.3830,Conseil national - 26.09.2018-15:00 - Motion - Page Pierre-André,Reconnaissance et formation professionnelle pour les personnes s'occupant de personnes âgées et/ou handicapées,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44404
10,17.4059,Conseil national - 26.09.2018-15:00 - Postulat - Thorens Goumaz Adèle,Utilisation du glyphosate. Etudier l'opportunité et les modalités d'un plan de sortie progressive,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44399
11,18.3390,"Conseil national - 26.09.2018-08:30 - Motion - Commission de la science, de l'éducation et de la culture-Conseil national",Suspension de la réorganisation d'Agroscope,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44394
12,16.309,Conseil national - 25.09.2018-08:00 - Initiative cantonale - Jura,Crise laitière et gestion des volumes,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44355
13,18.3128,Conseil national - 07.06.2018-08:00 - Motion - Page Pierre-André,Révision partielle de la procédure pénale militaire. Allègement de la procédure en cas de défaut au service militaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43452
14,18.044,Conseil national - 04.06.2018-14:30 - Objet du Conseil fédéral,"Vue d’ensemble du développpement à moyen terme de la politique agricole. Rapport du Conseil fédéral en réponse aux postulats 14.3514 (Knecht), 14.3537 (Noser), 14.3618 (Aebi), 14.3894 (von Siebenthal), 14.3991 (de Buman), 14.4046 (Keller-Sutter), 14.4098 (Müller Walter), 17.3401 (Müller Damian)",https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43385
15,17.024,Conseil national - 04.06.2018-14:30 - Objet du Conseil fédéral,Pour la dignité des animaux de rente agricoles (Initiative pour les vaches à cornes). Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43310
16,17.063,Conseil national - 31.05.2018-08:00 - Objet du Conseil fédéral,Stopper le mitage - pour un développement durable du milieu bâti (initiative contre le mitage). Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43274
17,17.3971,"Conseil national - 08.03.2018-08:00 - Motion - Commission de l'environnement, de l'aménagement du territoire et de l'énergie-Conseil national",Marché de l'électricité 2.0. Deuxième étape de la libéralisation du marché de l'électricité,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42706
18,16.3529,Conseil national - 08.03.2018-08:00 - Motion - Flach Beat,Ne pas entraver la densification vers l'intérieur du milieu bâti par des méthodes de mesure des immissions de bruit qui manquent de souplesse,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42704
19,17.3358,"Conseil national - 27.02.2018-08:00 - Initiative cantonale;Motion - Commission de l'environnement, de l'aménagement du territoire et de l'énergie-Conseil des Etats",Réaffectation de bâtiments agricoles inutilisés à des fins d'habitation,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42387
20,15.4241,Conseil national - 11.12.2017-14:30 - Motion - Graf Maya,Interdire les expériences sur les primates leur imposant des contraintes,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42000
21,17.023,Conseil national - 05.12.2017-08:00 - Objet du Conseil fédéral,Pour la souveraineté alimentaire. L’agriculture nous concerne toutes et tous. Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41784
22,17.034,Conseil national - 05.12.2017-08:00 - Objet du Conseil fédéral,Décision de l’OMC en matière de concurrence à l’exportation. Suppression des contributions à l’exportation pour les produits agricoles transformés,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41782
23,16.073,Conseil national - 28.09.2017-08:00 - Objet du Conseil fédéral,Pour des denrées alimentaires saines et produites dans des conditions équitables et écologiques (initiative pour des aliments équitables). Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41194
24,16.3770,Conseil national - 25.09.2017-14:30 - Postulat - Buttet Yannick,Faire face à la menace sismique,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41069
25,16.471,Conseil national - 12.09.2017-08:00 - Initiative parlementaire - von Siebenthal Erich,Mise en oeuvre de la Politique forestière 2020. Conditions de défrichement facilitées,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40903
26,17.3127,Conseil national - 14.06.2017-08:15 - Motion - Hausammann Markus,Poursuivre l'aide alimentaire en produits laitiers pour lutter contre la faim dans le monde,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40527
27,16.3697,Conseil national - 13.06.2017-08:00 - Motion - Page Pierre-André,Modification de la loi sur l'aménagement du territoire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40507
28,16.072,Conseil national - 29.05.2017-14:30 - Objet du Conseil fédéral,Pollution atmosphérique transfrontière. Convention relative aux métaux lourds. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40156
29,15.050,Conseil national - 07.03.2017-08:00 - Objet du Conseil fédéral,Pour la sécurité alimentaire. Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=39446
30,16.3622,"Conseil national - 02.03.2017-08:00 - Motion - Commission de l'environnement, de l'aménagement du territoire et de l'énergie-Conseil des Etats",Aménagement du territoire et détention de petits animaux de rente à titre de loisir,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=39316
31,15.310,Conseil national - 15.12.2016-08:00 - Initiative cantonale - Bâle-Ville,Introduction d'une assurance fédérale contre les séismes,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=39016
32,16.056,Conseil national - 06.12.2016-08:00 - Objet du Conseil fédéral,Loi sur le génie génétique. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=38797
33,16.030,Conseil national - 13.09.2016-08:00 - Objet du Conseil fédéral,Protocole du traité sur l’Antarctique relatif à la protection de l’environnement et ses annexes I à V. Approbation,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=37878
34,13.449,Conseil national - 27.04.2016-08:00 - Initiative parlementaire - Rusconi Pierre,Déclaration de détention des animaux de rente et de production pour la viande et le poisson importés,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=37193
35,14.026,Conseil national - 17.03.2016-08:00 - Objet du Conseil fédéral,Pour un approvisionnement en électricité sûr et économique (Initiative efficacité électrique). Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=36977
36,15.050,Conseil national - 09.03.2016-15:00 - Objet du Conseil fédéral,Pour la sécurité alimentaire. Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=36798
37,15.050,Conseil national - 09.03.2016-08:00 - Objet du Conseil fédéral,Pour la sécurité alimentaire. Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=36787
38,14.087,Conseil national - 16.12.2015-15:00 - Objet du Conseil fédéral,AVSplus: pour une AVS forte. Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=36330
