,no,label,title,href
0,17.060,Conseil national - 13.06.2019-08:00 - Objet du Conseil fédéral,Entreprises responsables – pour protéger l’être humain et l’environnement. Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46336
1,17.043,Conseil national - 09.05.2019-08:00 - Objet du Conseil fédéral,Loi sur le contrat d’assurance. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46115
2,17.052,Conseil national - 08.05.2019-08:00 - Objet du Conseil fédéral,Loi sur la chasse. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46102
3,19.3003,"Conseil national - 21.03.2019-15:00 - Motion - Commission de la science, de l'éducation et de la culture-Conseil national",Arrêtons le broyage des poussins vivants,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45834
4,19.004,Conseil national - 19.03.2019-08:00 - Objet du Parlement,Rapport annuel 2018 des CdG et de la DélCdG,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45761
5,18.084,Conseil national - 19.03.2019-08:00 - Objet du Conseil fédéral,Valeur du patrimoine culturel pour la société (convention de Faro). Ratification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45742
6,19.5141,Conseil national - 18.03.2019-14:30 - Heure des questions. Question - Chevalley Isabelle,Est-ce que la BNS a des investissements respectueux du climat?,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45608
7,17.478,Conseil national - 12.03.2019-08:00 - Initiative parlementaire - Minder Thomas,"Consacrer démocratiquement le ""Cantique suisse"" comme étant l'hymne national de la Suisse",https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45548
8,18.3829,Conseil national - 05.03.2019-08:00 - Postulat - Chevalley Isabelle,Plan d'action contre le gaspillage alimentaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45343
9,17.4043,Conseil national - 05.03.2019-08:00 - Postulat - Groupe vert'libéral,Une mobilité 4.0 pour davantage de mobilité,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45339
10,17.069,Conseil national - 14.12.2018-08:00 - Objet du Conseil fédéral,Loi sur le droit d’auteur. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45044
11,17.071,Conseil national - 04.12.2018-08:00 - Objet du Conseil fédéral,Révision totale de la loi sur le CO2 pour la période postérieure à 2020,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44855
12,17.071,Conseil national - 03.12.2018-14:30 - Objet du Conseil fédéral,Révision totale de la loi sur le CO2 pour la période postérieure à 2020,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44853
13,18.041,Conseil national - 29.11.2018-08:00 - Objet du Conseil fédéral,Budget 2019 assorti du plan intégré des tâches et des finances 2020-2022,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44747
14,18.9008,Conseil national - 27.09.2018-08:00,"Débat d'actualité.
Relations entre la Suisse
et l'Union européenne",https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44440
15,17.4059,Conseil national - 26.09.2018-15:00 - Postulat - Thorens Goumaz Adèle,Utilisation du glyphosate. Etudier l'opportunité et les modalités d'un plan de sortie progressive,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44399
16,18.9007,Conseil national - 26.09.2018-08:30,"Interpellations urgentes.
Industrie d'armement
et exportations d'armes",https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44381
17,13.407,Conseil national - 25.09.2018-08:00 - Initiative parlementaire - Reynard Mathias,Lutter contre les discriminations basées sur l'orientation sexuelle,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44372
18,17.047,Conseil national - 25.09.2018-08:00 - Objet du Conseil fédéral,Loi sur l'égalité. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44362
19,17.047,Conseil national - 24.09.2018-14:30 - Objet du Conseil fédéral,Loi sur l'égalité. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44271
20,18.031,Conseil national - 12.09.2018-08:00 - Objet du Conseil fédéral,Projet fiscal 17,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43933
21,17.497,"Conseil national - 12.06.2018-08:00 - Initiative parlementaire - Commission de la science, de l'éducation et de la culture-Conseil national",Aides financières à l'accueil extrafamilial pour enfants. Prolonger le programme d'impulsion de la Confédération,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43564
22,17.046,Conseil national - 30.05.2018-08:00 - Objet du Conseil fédéral,Le droit suisse au lieu de juges étrangers (initiative pour l’autodétermination). Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43246
23,17.313,Conseil national - 15.03.2018-15:00 - Initiative cantonale - Soleure,Réduction des pertes de denrées alimentaires,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42938
24,17.3975,"Conseil national - 05.03.2018-14:30 - Motion - Commission de la science, de l'éducation et de la culture-Conseil national",Pour que la Suisse organise les Olympiades des métiers (World Skills),https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42606
25,16.3191,Conseil national - 28.02.2018-08:00 - Motion - Chevalley Isabelle,Pour une meilleure protection des troupeaux en Suisse,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42444
26,17.048,Conseil national - 26.02.2018-14:30 - Objet du Conseil fédéral,Analyse génétique humaine. Loi,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42354
27,17.054,Conseil national - 13.12.2017-15:00 - Objet du Conseil fédéral,Subventions destinées aux manifestations sportives internationales 2020/2021 et installations sportives d'importance nationale. Aides financières (CISIN 4),https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42049
28,15.4241,Conseil national - 11.12.2017-14:30 - Motion - Graf Maya,Interdire les expériences sur les primates leur imposant des contraintes,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42000
29,17.3164,Conseil national - 11.12.2017-14:30 - Motion - Engler Stefan,Apprécier la diversité linguistique à sa juste valeur,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41921
30,16.074,Conseil national - 06.12.2017-08:00 - Objet du Conseil fédéral,Pour une monnaie à l’abri des crises: émission monétaire uniquement par la Banque nationale! (Initiative Monnaie pleine). Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41804
31,17.023,Conseil national - 05.12.2017-08:00 - Objet du Conseil fédéral,Pour la souveraineté alimentaire. L’agriculture nous concerne toutes et tous. Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41784
32,17.041,Conseil national - 04.12.2017-14:30 - Objet du Conseil fédéral,Budget 2018 assorti du plan intégré des tâches et des finances 2019-2021,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41703
33,17.031,Conseil national - 27.11.2017-14:30 - Objet du Conseil fédéral,Encouragement de la mobilité internationale en matière de formation durant les années 2018-2020,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41630
