,no,label,title,href
0,19.002,Conseil des Etats - 13.06.2019-08:15 - Objet du Conseil fédéral,Rapport de gestion 2018 du Tribunal fédéral,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46334
1,17.052,Conseil des Etats - 11.06.2019-15:15 - Objet du Conseil fédéral,Loi sur la chasse. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46255
2,18.084,Conseil des Etats - 11.06.2019-15:15 - Objet du Conseil fédéral,Valeur du patrimoine culturel pour la société (convention de Faro). Ratification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46250
3,19.3168,Conseil des Etats - 06.06.2019-08:15 - Postulat - Hegglin Peter,Moderniser le régime de retraite des magistrats,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46215
4,17.069,Conseil des Etats - 04.06.2019-08:15 - Objet du Conseil fédéral,Loi sur le droit d’auteur. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46139
5,18.047,Conseil des Etats - 03.06.2019-16:15 - Objet du Conseil fédéral,LAMal. Admission des fournisseurs de prestations,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46132
6,18.4149,Conseil des Etats - 21.03.2019-08:15 - Interpellation - Berberat Didier,Mise en oeuvre de la Convention d'Istanbul. Quels moyens financiers pour des actions concrètes?,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45819
7,18.3459,Conseil des Etats - 21.03.2019-08:15 - Motion - Vonlanthen Beat,Promotion de modèles d'enseignement dans deux langues nationales. Contribution de la Confédération,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45817
8,18.086,Conseil des Etats - 21.03.2019-08:15 - Objet du Conseil fédéral,Sécurité sociale. Convention avec le Kosovo,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45813
9,18.081,Conseil des Etats - 20.03.2019-08:30 - Objet du Conseil fédéral,Loi sur les produits thérapeutiques. Nouvelle réglementation sur les dispositifs médicaux,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45781
10,18.4101,Conseil des Etats - 20.03.2019-08:30 - Initiative parlementaire;Motion - Commission des affaires juridiques-Conseil des Etats,Révision des règles applicables à la fixation des loyers des habitations et des locaux commerciaux,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45779
11,16.3864,Conseil des Etats - 19.03.2019-08:15 - Motion - Fässler Daniel,Soumettre à autorisation la participation d'orateurs étrangers à des manifestations de nature politique,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45746
12,18.081,Conseil des Etats - 18.03.2019-15:15 - Objet du Conseil fédéral,Loi sur les produits thérapeutiques. Nouvelle réglementation sur les dispositifs médicaux,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45657
13,19.009,Conseil des Etats - 13.03.2019-08:15 - Objet du Conseil fédéral,Rapport de politique extérieure 2018,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45551
14,17.3629,Conseil des Etats - 11.03.2019-15:15 - Motion - Commission de l'économie et des redevances-Conseil national,Création d'un instrument efficace pour lutter contre les prix inappropriés des revues,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45525
15,18.081,Conseil des Etats - 07.03.2019-08:15 - Objet du Conseil fédéral,Loi sur les produits thérapeutiques. Nouvelle réglementation sur les dispositifs médicaux,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45394
16,18.081,Conseil des Etats - 05.03.2019-08:15 - Objet du Conseil fédéral,Loi sur les produits thérapeutiques. Nouvelle réglementation sur les dispositifs médicaux,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45344
17,18.036,Conseil des Etats - 05.03.2019-08:15 - Objet du Conseil fédéral,LAMal. Adaptation des franchises à l'évolution des coûts,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45334
18,18.3937,Conseil des Etats - 12.12.2018-08:30 - Motion;Postulat - Ettlin Erich,Mieux protéger les travailleurs indépendants contre les risques sociaux,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44996
19,18.4079,Conseil des Etats - 12.12.2018-08:30 - Motion - Ettlin Erich,Pharmaciens. Autoriser les prestations qui réduisent les coûts,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44995
20,18.464,Conseil des Etats - 12.12.2018-08:30 - Initiative parlementaire - Commission des affaires juridiques-Conseil national,Cour d'appel du Tribunal pénal fédéral. Davantage de postes à plein temps,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44983
21,15.438,Conseil des Etats - 11.12.2018-08:15 - Initiative parlementaire - Berberat Didier,Pour une réglementation destinée à instaurer de la transparence en matière de lobbyisme au Parlement fédéral,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44968
22,16.413,Conseil des Etats - 11.12.2018-08:15 - Initiative parlementaire - Eder Joachim,Ne pas allouer de défraiement pour les nuitées qui n'ont pas été effectuées,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44967
23,17.019,Conseil des Etats - 10.12.2018-15:15 - Objet du Conseil fédéral,Loi sur les marchés publics. Révision totale,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44953
24,18.3934,Conseil des Etats - 06.12.2018-08:15 - Motion - Baumann Isidor,Conventions collectives nationales de travail. Renforcer le partenariat social,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44880
25,18.3771,Conseil des Etats - 06.12.2018-08:15 - Postulat - Berberat Didier,Acrylamide dans les aliments pour animaux,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44876
26,18.041,Conseil des Etats - 03.12.2018-15:15 - Objet du Conseil fédéral,Budget 2019 assorti du plan intégré des tâches et des finances 2020-2022,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44789
27,18.3935,Conseil des Etats - 29.11.2018-08:15 - Motion;Postulat - Germann Hannes,La Suisse ne doit pas signer le pacte de l'ONU sur les migrations,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44748
28,18.073,Conseil des Etats - 27.11.2018-08:15 - Objet du Conseil fédéral,"Pollution atmosphérique transfrontière. Protocole relatif à la réduction de l'acidification, de l'eutrophisation et de l'ozone troposphérique",https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44726
29,18.3509,Conseil des Etats - 27.09.2018-08:15 - Postulat - Noser Ruedi,Pour une levée des obstacles à l'utilisation efficace des ressources et à la mise en place d'une économie circulaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44426
30,18.303,Conseil des Etats - 25.09.2018-08:15 - Initiative cantonale - Genève,Exclusion de l'huile de palme et de ses dérivés des discussions de libre-échange entre la Suisse et la Malaisie et l'Indonésie,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44367
31,18.3717,Conseil des Etats - 25.09.2018-08:15 - Motion - Commission de politique extérieure-Conseil des Etats,Aucune concession en ce qui concerne l'huile de palme,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44366
