,no,label,title,href
0,18.094,Conseil des Etats - 12.06.2019-08:15 - Objet du Conseil fédéral,Crédit-cadre 2020-2023 pour trois Centres de Genève,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46319
1,18.449,Conseil des Etats - 11.06.2019-15:15 - Initiative parlementaire - Vonlanthen Beat,La diversité à la place de la concentration. Garantir une production de programmes par la SSR qui soit décentralisée,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46292
2,17.019,Conseil des Etats - 05.06.2019-08:15 - Objet du Conseil fédéral,Loi sur les marchés publics. Révision totale,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46176
3,17.069,Conseil des Etats - 04.06.2019-08:15 - Objet du Conseil fédéral,Loi sur le droit d’auteur. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46139
4,17.4308,Conseil des Etats - 21.03.2019-08:15 - Motion - Regazzi Fabio,Appréciation des ouvrages et des sites en vue de leur inscription dans l'ISOS. Les critères doivent être clarifiés,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45816
5,18.4282,Conseil des Etats - 20.03.2019-08:30 - Motion - Français Olivier,La révision de la loi sur les cartels doit prendre en compte des critères tant qualitatifs que quantitatifs pour juger de l'illicéité d'un accord,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45769
6,18.4150,Conseil des Etats - 13.03.2019-08:15 - Motion - Engler Stefan,Cofinancement de la gestion des entraînements et des compétitions ayant lieu dans les installations sportives d'importance nationale,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45558
7,18.078,Conseil des Etats - 07.03.2019-08:15 - Objet du Conseil fédéral,Programme de développement stratégique de l’infrastructure ferroviaire. Etape d’aménagement 2035,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45391
8,18.3868,Conseil des Etats - 13.12.2018-08:15 - Interpellation - Français Olivier,Utilisation du chlore pour fabriquer et exporter des produits interdits d'usage en Suisse,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45011
9,17.019,Conseil des Etats - 10.12.2018-15:15 - Objet du Conseil fédéral,Loi sur les marchés publics. Révision totale,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44953
10,18.3933,Conseil des Etats - 06.12.2018-08:15 - Motion - Vonlanthen Beat,Fonds pour la formation continue financés par les branches,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44879
11,18.3771,Conseil des Etats - 06.12.2018-08:15 - Postulat - Berberat Didier,Acrylamide dans les aliments pour animaux,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44876
12,18.075,Conseil des Etats - 04.12.2018-08:15 - Objet du Conseil fédéral,Loi sur la péréquation financière et la compensation des charges. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44857
13,17.058,Conseil des Etats - 27.11.2018-08:15 - Objet du Conseil fédéral,Loi sur les télécommunications. Révision,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44722
14,17.309,Conseil des Etats - 13.06.2018-08:30 - Initiative cantonale - Berne,Formation médicale postgrade. Financement,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43613
15,17.3666,Conseil des Etats - 13.06.2018-08:30 - Motion - Burkart Thierry,Autoriser le devancement par la droite sur les autoroutes et les semi-autoroutes. Créer la sécurité du droit en assouplissant et en clarifiant les dispositions à ce sujet,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43606
16,18.3242,Conseil des Etats - 06.06.2018-08:15 - Interpellation - Français Olivier,Pourquoi bannir les prix de référence établis par les associations?,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43434
17,17.3849,Conseil des Etats - 31.05.2018-08:15 - Motion - Béglé Claude,Armée suisse. Comment garantir notre souveraineté et notre indépendance alors que le numérique pousse à l'interdépendance?,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43270
18,17.048,Conseil des Etats - 30.05.2018-08:15 - Objet du Conseil fédéral,Analyse génétique humaine. Loi,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43249
19,15.3125,Conseil des Etats - 28.05.2018-16:15 - Initiative parlementaire;Motion - Gschwind Jean-Paul,Via sicura. Rétablir la proportionnalité des sanctions pénales et administratives,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43207
20,16.075,Conseil des Etats - 28.05.2018-16:15 - Objet du Conseil fédéral,Organisation de l’infrastructure ferroviaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43205
21,17.046,Conseil des Etats - 13.03.2018-08:15 - Objet du Conseil fédéral,Le droit suisse au lieu de juges étrangers (initiative pour l’autodétermination). Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42835
22,18.3006,Conseil des Etats - 05.03.2018-15:15 - Motion - Commission des transports et des télécommunications-Conseil des Etats,Eviter l'effondrement des réseaux de téléphonie mobile et assurer l'avenir numérique du pays,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42600
23,17.047,Conseil des Etats - 28.02.2018-08:15 - Objet du Conseil fédéral,Loi sur l'égalité. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42404
24,17.3632,Conseil des Etats - 11.12.2017-15:15 - Motion - Commission des transports et des télécommunications-Conseil des Etats,Via sicura. Adaptations,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41922
25,17.3627,Conseil des Etats - 11.12.2017-15:15 - Motion - Commission des transports et des télécommunications-Conseil national,Modèle fondé sur les contenus partagés,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41917
26,17.3049,Conseil des Etats - 11.12.2017-15:15 - Motion - Groupe libéral-radical,Numérisation. La voie est libre pour les véhicules automatisés et autonomes,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41851
27,17.3011,Conseil des Etats - 30.11.2017-08:15 - Initiative cantonale;Motion - Commission des transports et des télécommunications-Conseil national,Pour que les acteurs du marché postal suisse bénéficient d'une concurrence équitable,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41671
28,17.051,Conseil des Etats - 30.11.2017-08:15 - Objet du Conseil fédéral,Pour la promotion des voies cyclables et des chemins et sentiers pédestres (initiative vélo). Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41670
29,17.3963,Conseil des Etats - 29.11.2017-08:15 - Postulat - Français Olivier,Assurance obligatoire des soins. Transparence au niveau des prestataires de soins,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41656
30,16.4027,Conseil des Etats - 26.09.2017-08:15 - Motion - Fluri Kurt,"SSR et industrie audiovisuelle indépendante. Renforcer le marché indépendant, intensifier la coopération et éviter les distorsions de la concurrence",https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41083
31,15.3777,Conseil des Etats - 26.09.2017-08:15 - Motion - Darbellay Christophe,Ordonnance sur la radio et la télévision. Pour une quote-part de 6 pour cent pour les radios et TV régionales,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41082
32,15.3747,Conseil des Etats - 26.09.2017-08:15 - Motion - Maier Thomas,LRTV. Plafonnement des redevances de réception,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41081
33,17.3356,Conseil des Etats - 26.09.2017-08:15 - Motion - Commission des transports et des télécommunications-Conseil des Etats,Planification stratégique du réseau d'offices postaux,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41078
34,17.3512,Conseil des Etats - 14.09.2017-08:15 - Interpellation - Français Olivier,Assurance obligatoire des soins. Transparence des prestataires de soins,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40924
35,15.3771,Conseil des Etats - 13.09.2017-08:15 - Motion - Romano Marco,Améliorer l'accès au train. Plus de places de stationnement à proximité des gares,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40911
36,17.3258,Conseil des Etats - 13.09.2017-08:15 - Motion - Commission des transports et des télécommunications-Conseil national,Moratoire sur la suppression des points de vente de billets CFF gérés par des tiers,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40909
37,15.456,Conseil des Etats - 13.09.2017-08:15 - Initiative parlementaire - Reimann Maximilian,Relever l'examen de contrôle périodique effectué par un médecin-conseil de 70 à 75 ans pour les conducteurs âgés,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40907
38,15.495,Conseil des Etats - 12.09.2017-08:15 - Initiative parlementaire - Rutz Gregor,Activités non prévues dans la concession. Ne les autoriser qu'en cas d'impérieuse nécessité,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40902
39,05.028,Conseil des Etats - 15.06.2017-08:15 - Objet du Conseil fédéral,Réforme des chemins de fer 2,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40605
40,13.068,Conseil des Etats - 15.06.2017-08:15 - Objet du Conseil fédéral,Loi sur le transport de voyageurs (transport de supporters). Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40604
41,17.3133,Conseil des Etats - 15.06.2017-08:15 - Motion - Dittli Josef,Tenir dûment compte du tourisme nature dans les districts francs,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40587
42,17.3262,Conseil des Etats - 15.06.2017-08:15 - Postulat - Commission des transports et des télécommunications-Conseil des Etats,Croix fédérale de la mobilité et vision du réseau ferroviaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40577
43,14.4075,Conseil des Etats - 15.06.2017-08:15 - Motion - Clottu Raymond,La Poste. Distribution du courrier pour tout le monde!,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40574
44,16.075,Conseil des Etats - 15.06.2017-08:15 - Objet du Conseil fédéral,Organisation de l’infrastructure ferroviaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40572
45,17.3103,Conseil des Etats - 14.06.2017-08:30 - Interpellation - Eder Joachim,La Suisse face à la cybermenace. Que faire?,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40541
46,16.410,Conseil des Etats - 07.06.2017-08:15 - Initiative parlementaire - Vonlanthen Beat,LRTV. Coopérations non discriminatoires,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40361
47,16.062,Conseil des Etats - 07.06.2017-08:15 - Objet du Conseil fédéral,Loi sur l’aviation. Révision partielle 1+,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40351
48,16.306,Conseil des Etats - 15.03.2017-08:30 - Initiative cantonale - Tessin,Garantir une offre étendue de services à bande ultralarge sur tout le territoire national,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=39737
49,16.305,Conseil des Etats - 15.03.2017-08:30 - Initiative cantonale - Tessin,Pour un réseau des routes nationales dense et complet,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=39736
