,no,label,title,href
0,18.078,Conseil national - 04.06.2019-08:00 - Objet du Conseil fédéral,Programme de développement stratégique de l’infrastructure ferroviaire. Etape d’aménagement 2035,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46137
1,18.066,Conseil national - 11.03.2019-14:30 - Objet du Conseil fédéral,"Routes nationales sur la période 2020-2023, étape d'aménagement 2019 des routes nationales et crédit d'engagement. Plafond de dépenses",https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45529
2,18.065,Conseil national - 11.03.2019-14:30 - Objet du Conseil fédéral,Trafic d'agglomération. Crédits d'engagement à partir de 2019,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45425
3,18.041,Conseil national - 28.11.2018-08:00 - Objet du Conseil fédéral,Budget 2019 assorti du plan intégré des tâches et des finances 2020-2022,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44728
4,16.075,Conseil national - 11.09.2018-08:00 - Objet du Conseil fédéral,Organisation de l’infrastructure ferroviaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43912
5,17.046,Conseil national - 06.06.2018-08:00 - Objet du Conseil fédéral,Le droit suisse au lieu de juges étrangers (initiative pour l’autodétermination). Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43430
6,17.3356,Conseil national - 01.03.2018-08:00 - Motion - Commission des transports et des télécommunications-Conseil des Etats,Planification stratégique du réseau d'offices postaux,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42471
7,17.3355,Conseil national - 27.02.2018-08:00 - Initiative parlementaire;Motion - Commission des transports et des télécommunications-Conseil des Etats,Garantir la diversité médiatique en Suisse,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42378
8,16.075,Conseil national - 27.02.2018-08:00 - Objet du Conseil fédéral,Organisation de l’infrastructure ferroviaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42372
9,16.073,Conseil national - 26.09.2017-08:00 - Objet du Conseil fédéral,Pour des denrées alimentaires saines et produites dans des conditions équitables et écologiques (initiative pour des aliments équitables). Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41077
10,16.071,Conseil national - 14.09.2017-08:00 - Objet du Conseil fédéral,Oui à la suppression des redevances radio et télévision (suppression des redevances Billag). Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40921
11,16.447,Conseil national - 14.06.2017-15:00 - Initiative parlementaire - Carobbio Guscetti Marina,Pour un service universel,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40563
12,16.080,Conseil national - 03.05.2017-08:00 - Objet du Conseil fédéral,Transport régional de voyageurs 2018-2021. Crédit d‘engagement,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40068
13,16.043,Conseil national - 14.03.2017-08:00 - Objet du Conseil fédéral,Rapport Service-Public,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=39675
14,16.075,Conseil national - 09.03.2017-08:00 - Objet du Conseil fédéral,Organisation de l’infrastructure ferroviaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=39505
15,15.069,Conseil national - 01.03.2017-08:00 - Objet du Conseil fédéral,Loi sur les jeux d’argent,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=39312
16,15.023,Conseil national - 15.06.2016-08:15 - Objet du Conseil fédéral,Fonds pour les routes nationales et le trafic d'agglomération (FORTA). Comblement du déficit et mise en oeuvre du programme de développement stratégique des routes nationales,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=37520
17,14.026,Conseil national - 17.03.2016-08:00 - Objet du Conseil fédéral,Pour un approvisionnement en électricité sûr et économique (Initiative efficacité électrique). Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=36977
18,15.050,Conseil national - 09.03.2016-15:00 - Objet du Conseil fédéral,Pour la sécurité alimentaire. Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=36798
19,14.087,Conseil national - 16.12.2015-15:00 - Objet du Conseil fédéral,AVSplus: pour une AVS forte. Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=36330
