,no,label,title,href
0,18.4287,Conseil national - 14.06.2019-08:00 - Motion - Fridez Pierre-Alain,Se conformer enfin au principe de la maturité du projet d'acquisition en matière de biens militaires,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46382
1,18.085,Conseil national - 14.06.2019-08:00 - Objet du Conseil fédéral,Loi sur la protection de la population et sur la protection civile. Révision totale,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46370
2,18.416,Conseil national - 13.06.2019-15:00 - Initiative parlementaire - Reynard Mathias,Reconnaître le syndrome d'épuisement professionnel (burn-out) comme maladie professionnelle,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46366
3,17.060,Conseil national - 13.06.2019-08:00 - Objet du Conseil fédéral,Entreprises responsables – pour protéger l’être humain et l’environnement. Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46336
4,18.410,Conseil national - 11.06.2019-14:30 - Initiative parlementaire - Fridez Pierre-Alain,Assurances privées. Pour des expertises médicales sans conflits d'intérêts,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46313
5,17.524,Conseil national - 11.06.2019-14:30 - Initiative parlementaire - Tuena Mauro,Autoriser tous les médecins reconnus à procéder aux examens relevant de la médecine du trafic,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46312
6,17.308,Conseil national - 11.06.2019-14:30 - Initiative cantonale - Neuchâtel,Pour une législation fédérale sur les produits sucrés et pour une restriction de l'accès aux produits alimentaires à haute valeur énergétique,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46299
7,18.060,Conseil national - 11.06.2019-14:30 - Objet du Conseil fédéral,Loi sur le contrôle des biens. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46252
8,19.022,Conseil national - 06.06.2019-08:00 - Objet du Conseil fédéral,Message sur l’armée 2019,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46214
9,17.3456,Conseil national - 08.05.2019-15:00 - Postulat - Page Pierre-André,Certificat médical ou contrôle d'aptitude pour conducteurs âgés à partir de 75 ans? Etude comparative de l'opportunité,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46113
10,18.072,Conseil national - 21.03.2019-15:00 - Objet du Conseil fédéral,Garanties fédérales liées aux prêts pour réserves obligatoires. Crédit d'engagement,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45828
11,18.4096,Conseil national - 14.03.2019-08:00 - Motion - Commission de la sécurité sociale et de la santé publique-Conseil national,Assurance-maladie. Fixer la franchise à 500 francs,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45599
12,17.486,Conseil national - 13.03.2019-15:00 - Initiative parlementaire - Mazzone Lisa,"Mettre fin à la détention administrative de mineurs, dans le respect de l'intérêt supérieur de l'enfant",https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45588
13,18.022,Conseil national - 29.11.2018-08:00 - Objet du Conseil fédéral,Message sur I'armée 2018,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44743
14,18.023,Conseil national - 26.09.2018-15:00 - Objet du Conseil fédéral,WEF 2019-2021 à Davos. Engagement de l'armée en service d'appui,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44411
15,18.9007,Conseil national - 26.09.2018-08:30,"Interpellations urgentes.
Industrie d'armement
et exportations d'armes",https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44381
16,17.306,Conseil national - 25.09.2018-08:00 - Initiative cantonale - Genève,Pour une gestion équitable des réserves LAMal,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=44361
17,18.027,Conseil national - 17.09.2018-14:30 - Objet du Conseil fédéral,Développement de l'acquis de Schengen. Reprise de la directive 2017/853 modifiant la directive de l'UE sur les armes,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43982
18,18.022,Conseil national - 13.09.2018-08:00 - Objet du Conseil fédéral,Message sur I'armée 2018,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43946
19,17.057,Conseil national - 13.09.2018-08:00 - Objet du Conseil fédéral,Sûreté aérienne contre les menaces aériennes non militaires. Accord avec l’Autriche,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43945
20,17.074,Conseil national - 11.09.2018-08:00 - Objet du Conseil fédéral,Surveillance exercée sur le Service de renseignement de la Confédération. Rapport du Conseil fédéral sur le classement de la motion 15.3498 (CPS-CS),https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43918
21,17.3862,Conseil national - 12.06.2018-08:00 - Motion - Rieder Beat,Interdiction de se rendre dans un pays donné pour les extrémistes potentiellement violents,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43576
22,17.046,Conseil national - 06.06.2018-08:00 - Objet du Conseil fédéral,Le droit suisse au lieu de juges étrangers (initiative pour l’autodétermination). Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43430
23,18.027,Conseil national - 30.05.2018-15:00 - Objet du Conseil fédéral,Développement de l'acquis de Schengen. Reprise de la directive 2017/853 modifiant la directive de l'UE sur les armes,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43260
24,18.027,Conseil national - 30.05.2018-08:00 - Objet du Conseil fédéral,Développement de l'acquis de Schengen. Reprise de la directive 2017/853 modifiant la directive de l'UE sur les armes,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43258
25,18.027,Conseil national - 30.05.2018-08:00 - Objet du Conseil fédéral,Développement de l'acquis de Schengen. Reprise de la directive 2017/853 modifiant la directive de l'UE sur les armes,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43252
26,17.072,Conseil national - 15.03.2018-15:00 - Objet du Conseil fédéral,"Accord entre la Suisse, l’Allemagne et le SHAPE sur la participation de la Suisse à l’échange de données sur la situation aérienne (ASDE). Approbation",https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42935
27,18.9006,Conseil national - 14.03.2018-08:15,"Interpellations urgentes.
Car postal Suisse SA",https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42860
28,16.464,Conseil national - 08.03.2018-08:00 - Initiative parlementaire - Galladé Chantal,Armes. Preuve du besoin,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42728
29,16.3332,Conseil national - 28.02.2018-15:00 - Motion - Grin Jean-Pierre,"Négociations avec la Malaisie, sans l'huile de palme!",https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42443
30,17.055,Conseil national - 13.12.2017-08:15 - Objet du Conseil fédéral,Loi sur la taxe d'exemption de l'obligation de servir. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42042
31,17.3362,Conseil national - 27.09.2017-08:15 - Motion - Commission des finances-Conseil national,Fixation du montant du financement de l'aide publique au développement,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41179
32,16.061,Conseil national - 21.09.2017-08:00 - Objet du Conseil fédéral,Politique de sécurité de la Suisse. Rapport,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41027
