,no,label,title,href
0,13.094,Conseil national - 03.06.2019-14:30 - Objet du Conseil fédéral,CO. Protection en cas de signalement d’irrégularités par le travailleur,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46133
1,17.052,Conseil national - 08.05.2019-08:00 - Objet du Conseil fédéral,Loi sur la chasse. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46108
2,17.052,Conseil national - 08.05.2019-08:00 - Objet du Conseil fédéral,Loi sur la chasse. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46102
3,18.049,Conseil national - 20.03.2019-15:00 - Objet du Conseil fédéral,Loi sur les services d‘identification électronique,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45808
4,18.051,Conseil national - 13.03.2019-08:00 - Objet du Conseil fédéral,Loi sur le Tribunal fédéral. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45550
