,no,label,title,href
0,14.4021,Conseil des Etats - 04.03.2015-08:15 - Interpellation - Recordon Luc,Coûts futurs pour les pouvoirs publics de l'entraide judiciaire et de l'entraide administrative fiscale,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=30537
1,10.4127,Conseil des Etats - 04.03.2015-08:15 - Motion - Bischof Pirmin,Pour en finir avec la discrimination des couples mariés,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=30539
2,13.085,Conseil des Etats - 04.03.2015-08:15 - Objet du Conseil fédéral,Pour le couple et la famille - Non à la pénalisation du mariage. Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=30541
3,14.3915,Conseil des Etats - 11.12.2014-08:15 - Postulat - Bruderer Wyss Pascale,Aide sociale. Faire toute la transparence sur l'évolution des coûts et sur les mandats attribués à des entreprises privées,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=30529
4,14.3143,Conseil des Etats - 11.12.2014-08:15 - Motion - Semadeni Silva,Stratégie destinée à promouvoir les écoles dispensant un enseignement dans deux langues nationales,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=30530
5,13.442,Conseil des Etats - 10.12.2014-15:00 - Initiative parlementaire - Commission des affaires juridiques-Conseil national,Grooming avec des mineurs,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=30886
6,14.3917,Conseil des Etats - 10.12.2014-15:00 - Motion - Zanetti Roberto,Faire en sorte que la composition du Bureau du Conseil des Etats reflète la force numérique des groupes,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=30885
7,14.305,Conseil des Etats - 10.12.2014-15:00 - Initiative cantonale;Postulat - Berne,Appels anonymes à manifester,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=30891
8,13.091,Conseil des Etats - 10.12.2014-08:35 - Objet du Conseil fédéral,Pour le renvoi effectif des étrangers criminels (initiative de mise en oeuvre). Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=29024
9,13.056,Conseil des Etats - 10.12.2014-08:35 - Objet du Conseil fédéral,CP et CPM. Renvoi des étrangers criminels,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=29023
