,no,label,title,href
0,18.414,Conseil national - 13.06.2019-15:00 - Initiative parlementaire - Kiener Nellen Margret,Dénonciation spontanée non punissable. Certains articles de loi peuvent être abrogés,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46363
1,18.082,Conseil national - 12.06.2019-08:00 - Objet du Conseil fédéral,Mise en oeuvre des recommandations du Forum mondial sur la transparence et l’échange de renseignements à des fins fiscales,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46321
2,17.043,Conseil national - 09.05.2019-15:00 - Objet du Conseil fédéral,Loi sur le contrat d’assurance. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46116
3,17.043,Conseil national - 09.05.2019-08:00 - Objet du Conseil fédéral,Loi sur le contrat d’assurance. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=46115
4,18.082,Conseil national - 20.03.2019-08:30 - Objet du Conseil fédéral,Mise en oeuvre des recommandations du Forum mondial sur la transparence et l’échange de renseignements à des fins fiscales,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45766
5,18.063,Conseil national - 13.03.2019-08:00 - Objet du Conseil fédéral,Convention multilatérale pour la mise en oeuvre des mesures relatives aux conventions fiscales pour prévenir l'érosion de la base d'imposition et le transfert de bénéfices. Approbation,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=45564
6,18.031,Conseil national - 12.09.2018-15:00 - Objet du Conseil fédéral,Projet fiscal 17,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43944
7,18.031,Conseil national - 12.09.2018-08:00 - Objet du Conseil fédéral,Projet fiscal 17,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43943
8,18.031,Conseil national - 12.09.2018-08:00 - Objet du Conseil fédéral,Projet fiscal 17,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43933
9,15.073,Conseil national - 29.05.2018-08:00 - Objet du Conseil fédéral,Loi sur les services financiers (LSFin) et loi sur les établissements financiers (LEFin),https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=43226
10,16.4094,Conseil national - 05.03.2018-14:30 - Motion - Fournier Jean-René,Améliorer la situation des PME dans les procédures de concurrence,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42603
11,18.5068,Conseil national - 05.03.2018-14:30 - Heure des questions. Question - Barazzone Guillaume,Car postal. Quelle stratégie (de sortie) en cas de condamnation judiciaire en France?,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42489
12,17.3527,Conseil national - 13.12.2017-08:15 - Postulat - Groupe PDC,Etudier la possibilité de faire financer les investissements en infrastructures par des partenariats public-privé,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=42047
13,16.074,Conseil national - 06.12.2017-08:00 - Objet du Conseil fédéral,Pour une monnaie à l’abri des crises: émission monétaire uniquement par la Banque nationale! (Initiative Monnaie pleine). Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=41804
14,16.3902,Conseil national - 18.09.2017-14:30 - Motion - Bischof Pirmin,Interdire les contrats léonins des plates-formes de réservation en ligne dont l'hôtellerie fait les frais,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40971
15,15.073,Conseil national - 13.09.2017-15:00 - Objet du Conseil fédéral,Loi sur les services financiers (LSFin) et loi sur les établissements financiers (LEFin),https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40918
16,15.073,Conseil national - 13.09.2017-08:00 - Objet du Conseil fédéral,Loi sur les services financiers (LSFin) et loi sur les établissements financiers (LEFin),https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40908
17,15.057,Conseil national - 13.09.2017-08:00 - Objet du Conseil fédéral,Oui à la protection de la sphère privée. Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40905
18,17.3261,Conseil national - 14.06.2017-15:00 - Motion - Commission de l'économie et des redevances-Conseil national,Pour un traitement fiscal concurrentiel des start-up et des participations détenues par leurs collaborateurs,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40553
19,16.078,Conseil national - 31.05.2017-08:00 - Objet du Conseil fédéral,Accord multilatéral entre autorités compétentes portant sur l’échange des déclarations pays par pays. Approbation et mise en oeuvre,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=40196
20,15.057,Conseil national - 13.12.2016-08:00 - Objet du Conseil fédéral,Oui à la protection de la sphère privée. Initiative populaire,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=38923
21,15.422,Conseil national - 27.09.2016-08:00 - Initiative parlementaire - Leutenegger Oberholzer Susanne,Franc fort. Publier les procès-verbaux de la BNS,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=38315
22,16.3621,Conseil national - 22.09.2016-08:00 - Motion - Commission de l'économie et des redevances-Conseil national,Donner aux cantons l'autonomie de procéder à une régularisation fiscale unique du passé,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=38179
23,14.3909,Conseil national - 19.09.2016-14:30 - Motion - Barazzone Guillaume,Taxe au tonnage. Une nécessité fiscalement neutre,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=38023
24,14.3447,Conseil national - 15.06.2016-15:00 - Motion - Barazzone Guillaume,Activités de la Poste suisse à l'étranger. Faire respecter les conditions fixées par le Conseil fédéral,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=37531
25,15.049,Conseil national - 14.06.2016-08:00 - Objet du Conseil fédéral,Loi sur la réforme de l’imposition des entreprises III,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=37478
26,15.049,Conseil national - 06.06.2016-14:30 - Objet du Conseil fédéral,Loi sur la réforme de l’imposition des entreprises III,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=37299
27,15.081,Conseil national - 31.05.2016-08:00 - Objet du Conseil fédéral,Accord sur la fiscalité de l’épargne entre la Suisse et l’UE. Modification,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=37244
28,15.049,Conseil national - 17.03.2016-08:00 - Objet du Conseil fédéral,Loi sur la réforme de l’imposition des entreprises III,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=36968
29,15.049,Conseil national - 16.03.2016-15:00 - Objet du Conseil fédéral,Loi sur la réforme de l’imposition des entreprises III,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=36967
30,15.049,Conseil national - 16.03.2016-08:15 - Objet du Conseil fédéral,Loi sur la réforme de l’imposition des entreprises III,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=36959
31,15.3958,Conseil national - 15.03.2016-08:00 - Motion - Barazzone Guillaume,Renforcer les sanctions pénales en Suisse contre le commerce illicite d'espèces menacées,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=36930
32,15.064,Conseil national - 08.03.2016-08:00 - Objet du Conseil fédéral,Echange de renseignements en matière fiscale. Accords avec le Belize et la Grenade,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=36773
33,15.3840,Conseil national - 02.03.2016-15:00 - Postulat - Barazzone Guillaume,Plan national de mesures pour diminuer les nuisances sonores,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=36648
34,14.035,Conseil national - 08.09.2015-08:00 - Objet du Conseil fédéral,CP. Dispositions pénales incriminant la corruption,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=35071
35,14.039,Conseil national - 10.06.2015-08:00 - Objet du Conseil fédéral,Blocage et restitution des avoirs illicites de personnes politiquement exposées à l’étranger. Loi,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=33120
36,14.039,Conseil national - 10.06.2015-08:00 - Objet du Conseil fédéral,Blocage et restitution des avoirs illicites de personnes politiquement exposées à l’étranger. Loi,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=33118
37,12.046,Conseil national - 08.06.2015-14:30 - Objet du Conseil fédéral,CP et CPM. Réforme du droit des sanctions,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=34865
38,12.434,Conseil national - 05.05.2015-08:00 - Initiative parlementaire - Commission des affaires juridiques-Conseil des Etats,Elections par l'Assemblée fédérale. Indemnité de départ en cas de non-réélection et modalités de réélection,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=34631
39,12.046,Conseil national - 04.03.2015-08:00 - Objet du Conseil fédéral,CP et CPM. Réforme du droit des sanctions,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=30337
40,13.106,Conseil national - 11.12.2014-08:00 - Objet du Conseil fédéral,Groupe d’action financière. Mise en oeuvre des recommandations 2012,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=28106
41,13.447,Conseil national - 10.12.2014-15:00 - Initiative parlementaire - Heer Alfred,Donner au Parlement la compétence de nommer le juge suisse à Strasbourg,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=30937
42,14.400,Conseil national - 10.12.2014-15:00 - Initiative parlementaire - Commission des affaires juridiques-Conseil national,Publication des dons faits aux acteurs politiques par les entreprises et institutions du secteur public,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=30942
43,13.106,Conseil national - 10.12.2014-08:20 - Objet du Conseil fédéral,Groupe d’action financière. Mise en oeuvre des recommandations 2012,https://www.parlament.ch/fr/ratsbetrieb/amtliches-bulletin/amtliches-bulletin-die-verhandlungen?SubjectId=30509
