,biographyUrl,canton,cantonName,council,faction,factionName,firstName,function,homepage,id,lastName,number,party,partyName,pictureUrl,updated
59,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3875,AG,Argovie,N,RL,Groupe libéral-radical,Corina,Membre,www.corinaeichenberger.ch,3875,Eichenberger-Walther,2678,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2678.jpg,2018-10-09T15:05:45Z
60,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4055,GR,Grisons,S,C,Groupe PDC,Stefan,Membre,www.stefanengler.ch,4055,Engler,2768,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2768.jpg,2016-02-02T09:45:41Z
61,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3876,LU,Lucerne,N,V,Groupe de l'Union démocratique du Centre,Yvette,Membre,www.estermann-aktuell.ch,3876,Estermann,2679,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2679.jpg,2018-01-16T10:38:57Z
62,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4206,OW,Obwald,S,C,Groupe PDC,Erich,Membre,www.erich-ettlin.ch,4206,Ettlin,3107,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3107.jpg,2015-11-25T14:56:45Z
63,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=74,BS,Bâle-Ville,N,RL,Groupe libéral-radical,Christoph,Membre,,74,Eymann,2287,PLD,Parti libéral démocrate,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2287.jpg,2018-01-10T16:53:09Z
64,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4056,AI,Appenzell Rh.-Int.,S,C,Groupe PDC,Daniel,Membre,,4056,Fässler,2767,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2767.jpg,2019-05-01T10:12:23Z
65,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4195,GE,Genève,N,S,Groupe socialiste,Laurence,Membre,www.fehlmann-rielle.info,4195,Fehlmann Rielle,3071,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/3071.jpg,2016-11-21T10:02:48Z
66,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4077,VD,Vaud,N,RL,Groupe libéral-radical,Olivier,Membre,www.olivierfeller.ch,4077,Feller,2789,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2789.jpg,2015-06-16T15:23:26Z
67,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4069,AG,Argovie,N,S,Groupe socialiste,Yvonne,Membre,www.yvonneferi.ch,4069,Feri,2777,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2777.jpg,2016-11-24T11:12:29Z
68,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=466,BS,Bâle-Ville,S,S,Groupe socialiste,Anita,Membre,www.fetz.ch,466,Fetz,2061,PSS,Parti socialiste suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2061.jpg,2017-12-20T08:49:46Z
69,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3877,ZH,Zurich,N,RL,Groupe libéral-radical,Doris,Membre,www.fiala.ch,3877,Fiala,2680,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2680.jpg,2018-09-20T11:21:08Z
70,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4059,AG,Argovie,N,GL,Groupe vert'libéral,Beat,Membre,www.beatflach.ch,4059,Flach,2765,pvl,Parti vert'libéral,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2765.jpg,2018-03-15T09:37:22Z
71,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3878,AG,Argovie,N,V,Groupe de l'Union démocratique du Centre,Sylvia,Membre,www.politikerin.ch,3878,Flückiger-Bäni,2681,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2681.jpg,2016-11-21T10:23:35Z
72,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=1122,SO,Soleure,N,RL,Groupe libéral-radical,Kurt,Membre,www.kurt-fluri.ch,1122,Fluri,2594,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2594.jpg,2019-04-03T14:43:50Z
73,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=321,SZ,Schwyz,S,V,Groupe de l'Union démocratique du Centre,Peter,Membre,www.peter-foehn.ch,321,Föhn,2385,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2385.jpg,2015-05-17T21:18:19Z
74,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3915,VS,Valais,S,C,Groupe PDC,Jean-René,Membre,www.jrfournier.ch,3915,Fournier,2718,PDC,Parti démocrate-chrétien suisse,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2718.jpg,2018-01-10T16:41:34Z
75,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=3879,VD,Vaud,S,RL,Groupe libéral-radical,Olivier,Membre,www.olivier-francais.ch,3879,Français,2682,PLR,PLR.Les Libéraux-Radicaux,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2682.jpg,2018-02-13T10:52:28Z
76,http://www.parlament.ch/f/suche/Pages/biografie.aspx?biografie_id=4042,BS,Bâle-Ville,N,V,Groupe de l'Union démocratique du Centre,Sebastian,Membre,www.sebastian-frehner.ch,4042,Frehner,2750,UDC,Union Démocratique du Centre,http://www.parlament.ch/SiteCollectionImages/profil/225x225/2750.jpg,2019-02-11T08:59:39Z
